id,category,title,author,fascicle,year,start_page,end_page,pdf_link
ANU-M-2019-10049300496,Otras Actividades Académicas. Crónica Académica,Crónica Académica,RACMYP,1,2019,00493,00496,abrir_pdf.php?id=ANU-M-2019-10049300496
ANU-M-2019-10049600496,Otras Actividades Académicas. Crónica Académica,Académicos y Representación académica,RACMYP,1,2019,00496,00496,abrir_pdf.php?id=ANU-M-2019-10049600496
ANU-M-2019-10049600497,Otras Actividades Académicas. Crónica Académica,Honores y reconocimientos,RACMYP,1,2019,00496,00497,abrir_pdf.php?id=ANU-M-2019-10049600497
ANU-M-2019-10049700498,Otras Actividades Académicas. Crónica Académica,Asuntos especiales,RACMYP,1,2019,00497,00498,abrir_pdf.php?id=ANU-M-2019-10049700498
ANU-M-2019-10049800499,Otras Actividades Académicas. Crónica Académica,Biblioteca,RACMYP,1,2019,00498,00499,abrir_pdf.php?id=ANU-M-2019-10049800499
ANU-M-2019-10049900502,Otras Actividades Académicas. Crónica Académica,Disertaciones y participación en los coloquios,RACMYP,1,2019,00499,00502,abrir_pdf.php?id=ANU-M-2019-10049900502
ANU-M-2020-10000500022,Intervenciones Académicas. Ciencias Económicas,Desigualdad: Piketty siete años después,Julio Segura Sánchez,1,2020,00005,00022,abrir_pdf.php?id=ANU-M-2020-10000500022
ANU-M-2020-10002300060,Intervenciones Académicas. Ciencias Económicas,"Desigualdad, brecha de género y cuotas",Jaime Terceiro Lomba,1,2020,00023,00060,abrir_pdf.php?id=ANU-M-2020-10002300060
ANU-M-2020-10006100070,Intervenciones Académicas. Ciencias Económicas,Uno de los nuestros: Valentín Andrés Álvarez,José Luis García Delgado,1,2020,00061,00070,abrir_pdf.php?id=ANU-M-2020-10006100070
ANU-M-2020-10007100082,Intervenciones Académicas. Ciencias Económicas,Laureano Figuerola en la Restauración,José María Serrano Sanz,1,2020,00071,00082,abrir_pdf.php?id=ANU-M-2020-10007100082
ANU-M-2020-10008300094,Intervenciones Académicas. Ciencias Económicas,¿Es justa la justicia social?,Pedro Schwartz Girón,1,2020,00083,00094,abrir_pdf.php?id=ANU-M-2020-10008300094
ANU-M-2020-10009500116,Intervenciones Académicas. Ciencias Económicas,El sector público que necesitamos tras la pandemia,Alfonso Novales Cinca,1,2020,00095,00116,abrir_pdf.php?id=ANU-M-2020-10009500116
ANU-M-2020-10011700160,Intervenciones Académicas. Ciencias Económicas,Medidas e instrumentos económicos,Ramón Tamames Gómez,1,2020,00117,00160,abrir_pdf.php?id=ANU-M-2020-10011700160
ANU-M-2020-10016100178,Intervenciones Académicas. Ciencias Económicas,El impacto en la sociedad de la era digital,Juan Miguel Villar Mir,1,2020,00161,00178,abrir_pdf.php?id=ANU-M-2020-10016100178
ANU-M-2020-10017900212,Intervenciones Académicas. Ciencias Económicas,"Clima y pandemia: las finanzas, entre dos emergencias",José Manuel González-Páramo,1,2020,00179,00212,abrir_pdf.php?id=ANU-M-2020-10017900212
ANU-M-2020-10021500226,Intervenciones Académicas. Ciencias Filosóficas,"La flauta mágica, de Mozart, no es mágica sino transfiguradora",Alfonso López Quintás,1,2020,00215,00226,abrir_pdf.php?id=ANU-M-2020-10021500226
ANU-M-2020-10022700242,Intervenciones Académicas. Ciencias Filosóficas,Meditación del confinado,Pedro Cerezo Galán,1,2020,00227,00242,abrir_pdf.php?id=ANU-M-2020-10022700242
ANU-M-2020-10024300262,Intervenciones Académicas. Ciencias Filosóficas,La psicología ante la pandemia. El caso de España,Heliodoro Carpintero Capell,1,2020,00243,00262,abrir_pdf.php?id=ANU-M-2020-10024300262
ANU-M-2020-10026300274,Intervenciones Académicas. Ciencias Filosóficas,"Genética, individuo y familia en la jurisprudencia del Tribunal Constitucional español",Andrés Ollero Tassara,1,2020,00263,00274,abrir_pdf.php?id=ANU-M-2020-10026300274
ANU-M-2020-10027500290,Intervenciones Académicas. Ciencias Filosóficas,¿Son tiempos para hablar de cosmopolitismo?,Adela Cortina Orts,1,2020,00275,00290,abrir_pdf.php?id=ANU-M-2020-10027500290
ANU-M-2020-10029100302,Intervenciones Académicas. Ciencias Filosóficas,El valor de lo inapreciable,Diego Gracia Guillén,1,2020,00291,00302,abrir_pdf.php?id=ANU-M-2020-10029100302
ANU-M-2020-10030300318,Intervenciones Académicas. Ciencias Filosóficas,Repercusiones éticas y sociales de los últimos avances en edición genética,Juan Arana Cañedo-Argüelles,1,2020,00303,00318,abrir_pdf.php?id=ANU-M-2020-10030300318
ANU-M-2020-10031900338,Intervenciones Académicas. Ciencias Filosóficas,Ensayo sobre las fuentes cotidianas de la filosofía,Miguel García-Baró López,1,2020,00319,00338,abrir_pdf.php?id=ANU-M-2020-10031900338
ANU-M-2020-10034100352,Intervenciones Académicas. Ciencias Políticas y Jurídicas,Estirpes y generaciones en el constitucionalismo iberoamericano,Miguel Herrero y Rodríguez de Miñón,1,2020,00341,00352,abrir_pdf.php?id=ANU-M-2020-10034100352
ANU-M-2020-10035300376,Intervenciones Académicas. Ciencias Políticas y Jurídicas,Joseph Ratzinger/Benedicto XVI y el diagnóstico de nuestro tiempo. Una aproximación teológica-jurídica,Antonio María Rouco Varela,1,2020,00353,00376,abrir_pdf.php?id=ANU-M-2020-10035300376
ANU-M-2020-10037700388,Intervenciones Académicas. Ciencias Políticas y Jurídicas,1956-1957: la Arquitectura y las Ingenierías en la Universidad española,Rodolfo Martín Villa,1,2020,00377,00388,abrir_pdf.php?id=ANU-M-2020-10037700388
ANU-M-2020-10038900402,Intervenciones Académicas. Ciencias Políticas y Jurídicas,La conferencia sobre el futuro de Europa: razones para un espacio de diálogo ciudadano,Araceli Mangas Martín,1,2020,00389,00402,abrir_pdf.php?id=ANU-M-2020-10038900402
ANU-M-2020-10040300422,Intervenciones Académicas. Ciencias Políticas y Jurídicas,El modelo de Universidad española: una crítica,Francesc de Carreras Serra,1,2020,00403,00422,abrir_pdf.php?id=ANU-M-2020-10040300422
ANU-M-2020-10042300490,Intervenciones Académicas. Ciencias Políticas y Jurídicas,"La pandemia, el estado de alarma y los jueces",Pablo Lucas Murillo de la Cueva,1,2020,00423,00490,abrir_pdf.php?id=ANU-M-2020-10042300490
ANU-M-2020-10049300508,Intervenciones Académicas. Ciencias Sociales,Memorias de un peregrino del Camino de Santiago en el Año Santo de 2021,Marcelino Oreja Aguirre,1,2020,00493,00508,abrir_pdf.php?id=ANU-M-2020-10049300508
ANU-M-2020-10050900526,Intervenciones Académicas. Ciencias Sociales,La pandemia en sus circunstancias en España,Julio Iglesias de Ussel,1,2020,00509,00526,abrir_pdf.php?id=ANU-M-2020-10050900526
ANU-M-2020-10052700538,Intervenciones Académicas. Ciencias Sociales,Entre la Segunda y la Tercera República,Alejandro Nieto García,1,2020,00527,00538,abrir_pdf.php?id=ANU-M-2020-10052700538
ANU-M-2020-10053900566,Intervenciones Académicas. Ciencias Sociales,Reflexiones sobre la concordia,Fernando Suárez González,1,2020,00539,00566,abrir_pdf.php?id=ANU-M-2020-10053900566
ANU-M-2020-10056700578,Intervenciones Académicas. Ciencias Sociales,De la Puebla a Belmonte. Historia y trabajo de campo,Ricardo Sanmartín Arce,1,2020,00567,00578,abrir_pdf.php?id=ANU-M-2020-10056700578
ANU-M-2020-10057900594,Intervenciones Académicas. Ciencias Sociales,El «Fecho del Imperio» (Reflexiones sobre el centenario de Alfonso el Sabio),Benigno Pendás García,1,2020,00579,00594,abrir_pdf.php?id=ANU-M-2020-10057900594
ANU-M-2020-10059500598,Otras Actividades Académicas. Actos públicos,1.1 Seminarios y mesas redondas. 1.2 Publicaciones,RACMYP,1,2020,00595,00598,abrir_pdf.php?id=ANU-M-2020-10059500598
ANU-M-2020-10059900608,Otras Actividades Académicas. Crónica Académica,2.1 Académicos. 2.2 Representación académica. 2.3 Honores y reconocimientos. 2.4 Asuntos especiales. 2.5 Biblioteca. 2.6 Disertaciones y participación en los coloquios,RACMYP,1,2020,00599,00608,abrir_pdf.php?id=ANU-M-2020-10059900608
